Nazwa_szkodnika,Obecnosc_na_obszarze_PRA,"Komentarze",Zrodlo
"*Abelmoschus esculentus* (piżmian jadalny, okra)",Nie,"Gatunek uprawny w krajach o klimacie tropikalnym i subtropikalnym.",@cabi2017
"*Abutilon theophrasti* (zaślaz pospolity)",Tak,"Pochodzący z Azji wschodniej gatunek lokalnie zadomowiony na obszarze PRA.",@cabi2017
"*Amaranthus* (szarłat)",Tak,"Na obszarze PRA gatunki dziko rosnące (w tym pospolicie występujące w uprawach chwasty) oraz rośliny ozdobne.",@cabi2017
"*Arachis hypogaea* (orzacha podziemna, orzech ziemny)",Nie,"Jednoroczna roślina uprawna pochodząca z Ameryki. Do Polski sprowadzane są owoce do celów spożywczych. We florze Polski notowana jako efemerofit.",@cabi2017
"*Brassica oleracea* (kapusta warzywna)",Tak,"Roślina uprawna na całym obszarze PRA.",@cabi2017
"*Brassica oleracea* var. *botrytis* (kalafior)",Tak,"Roślina uprawna na całym obszarze PRA.",@cabi2017
"*Brassica oleracea* var. *capitata* (kapusta głowiasta)",Tak,"Roślina uprawna na całym obszarze PRA.",@cabi2017
"*Cajanus cajan* (nikla indyjska)",Nie,"Gatunek uprawny w krajach o klimacie tropikalnym.",@cabi2017
"*Capsicum* (papryka)",Tak,"Na obszarze PRA C.annuum jest rośliną uprawianą. Dostępne są odmiany ozdobne uprawiane w warunkach domowych.",@cabi2017
"*Capsicum annuum* (papryka roczna)",Tak,"Na obszarze PRA C. annuum jest rośliną uprawianą. W cieplejszych rejonach kraju możliwa uprawa w gruncie, jednak częściej pod osłonami. Dostępne są odmiany ozdobne uprawiane w doniczkach w warunkach domowych.",@cabi2017
"*Chenopodium quinoa* (komosa ryżowa)",Tak,"Na obszarze PRA roślina rzadko uprawiana, efemerofit.",@cabi2017
"*Cicer arietinum* (ciecierzyca pospolita)",Tak,"Na obszarze PRA roślina uprawiana głównie pod osłonami, efemerofit.",@cabi2017
"*Citrus* (cytrusy)",Tak,"Rośliny uprawne. Na obszarze PRA niektóre gatunki uprawiane jako ozdobne w warunkach domowych, w szklarniach i oranżeriach. Owoce sprowadzane do celów spożywczych i przetwórstwa.",@cabi2017
"*Cucumis melo* (ogórek melon)",Tak,"Roślina uprawna na obszarze PRA w gruncie i pod osłonami. Uprawy poboczne, uprawy amatorskie.",@cabi2017
"*Cucumis sativus* (ogórek siewny)",Tak,"Roślina uprawna na całym obszarze PRA.",@cabi2017
"*Fragaria* (poziomka)",Tak,"Rośliny uprawiane i dziko rosnace na całym obszarze PRA.",@cabi2017
"*Fragaria* x *ananassa* (truskawka, poziomka ananasowa)",Tak,"Roślina uprawna na całym obszarze PRA w gruncie i pod osłonami.",@cabi2017
"*Geranium carolinianum* (Carolina geranium)",Nie,,@cabi2017
"*Gerbera* (gerbera)",Tak,"Roślina uprawiana na obszarze PRA w warunkach szklarniowych i domowych jako roślina ozdobna. Wrażliwa na mrozy, w Polsce nie przetrzymuje zimy.",@cabi2017
"*Glycine max* (soja warzywna, soja zwyczajna)",Tak,"Roślina uprawna na obszarze PRA. Gatunek przejściowo dziczejący.",@cabi2017
"*Gossypium* (bawełna)",Nie,"Ważna roślina uprawna nie występująca na obszarze PRA.",@cabi2017
"*Helianthus annuus* (słonecznik zwyczajny)",Tak,"Roślina uprawna na obszarze PRA. Także jako roślina ozdobna.",@cabi2017
"*Ipomoea purpurea* (wilec purprowy)",Tak,"Na obszarze PRA gatunek uprawiany jako roślina ozdobna i przejściowo dziczejąca (efemerofit).",@cabi2017
"*Lactuca sativa* (sałata siewna)",Tak,"Roślina uprawna na obszarze PRA.",@cabi2017
"*Lamium amplexicaule* (jasnota różowa)",Tak,"Pospolita roślina dziko rosnąca na całym obszarze PRA. Roślina ruderalna, także w uprawach rolniczych jako chwast.",@cabi2017
"*Lespedeza juncea* var. *sericea*",Nie,,@cabi2017
"*Lonicera japonica* (wiciokrzew japoński)",Tak,"Roślina uprawiana w ogrodach jako ozdobna.",@cabi2017
"*Medicago lupulina* (lucerana nerkowata)",Tak,"Pospolita roślina dziko rosnąca na całym obszarze PRA.",@cabi2017
"*Medicago sativa* (lucerna siewna)",Tak,"Roślina uprawna i dziczejąca na całym obszarze PRA.",@cabi2017
"*Nicotiana tabacum* (tytoń szlachetny)",Tak,"Roślina uprawna i przejściowo dziczejąca na obszarze PRA.",@cabi2017
"*Panicum miliaceum* (proso zwyczajne)",Tak,"Gatunek rzadko uprawiany na obszarze PRA, przejściowo dziczejący.",@cabi2017
"*Phaseolus* (fasola)",Tak,"Rośliny uprawiane na obszarze PRA.",@cabi2017
"*Phaseolus vulgaris* (fasola zwyczajna)",Tak,"Roślina uprawna na całym obszarze PRA.",@cabi2017
"*Salix* (wierzby)",Tak,"Wiele gatunków dziko rosnących i uprawianych jako rośliny ozdobne.",@cabi2017
"*Securigera varia* (cieciorka pstra)",Tak,"Stosunkowo pospolita roślina dziko rosnąca na całym obszarze PRA.",@cabi2017
"*Solanum lycopersicum* (pomidor)",Tak,"Roślina uprawna na całym obszarze PRA, w gruncie i pod osłonami.",@cabi2017
"*Solanum melongena* (psianka podłużna, bakłażan)",Tak,"Roślina uprawna, na obszarze PRA głównie pod osłonami.",@cabi2017
"*Sorghum bicolor* (sorgo dwubarwne)",Nie/tak?,"Podejmowane są próby uprawy tego gatunku na obszarze PRA.",@cabi2017
"*Spinacia oleracea* (szpinak warzywny)",Tak,"Roślina uprawna na całym obszarze PRA, w gruncie i pod osłonami.",@cabi2017
"*Trifolium* (koniczyny)",Tak,"Wiele gatunków dziko rosnących i uprawianych jako rośliny pastewne oraz w płodozmianie.",@cabi2017
"*Trifolium incarnatum* (koniczyna krwistoczerwona)",Tak,"Gatunek uprawiany na obszarze PRA.",@cabi2017
"*Vivia sativa* (wyka siewna)",Tak,"Roślina dziko rosnąca i uprawna (pastewna) na całym obszarze PRA.",@cabi2017
"*Vicia villosa* (wyka kosmata)",Tak,"Roślina dziko rosnąca i uprawna (pastewna) na całym obszarze PRA.",@cabi2017
"*Vigna unguiculata* (wspięga wężowata)",Nie,,@cabi2017
"*Zea mays* (kukurydza)",Tak,"Roślina uprawna na całym obszarze PRA.",@cabi2017
"*Zea mays* subsp. *mays* (kukurydza cukrowa)",Tak,"Roślina uprawna na całym obszarze PRA.",@cabi2017

