Możliwa droga przenikania,Droga: transport lotniczy
"Krótki opis, dlaczego jest rozważana jako droga przenikania","*H. zea* jest dobrze latającym gatunkiem motyla i istnieje teoretycznie możliwość przedostania się na pokład osobnika dorosłego. Jest to groźne jedynie w wypadku zapłodnionej samicy, gdyż prawdopodobieństwo przedostania się jednorazowo w ten sposób większej liczby osobników jest bardzo mało prawdopodobne."
"Czy droga przenikania jest zakazana na obszarze PRA?",Nie
"Czy agrofag był już przechwycony tą drogą przenikania?",Nie
"Jakie stadium jest najbardziej prawdopodobnie związane z tą drogą przenikania?",imago
"Jakie są ważne czynniki związane z tą drogą przenikania?","Transport w warunkach umożliwiających przeżycie osobnika dorosłego (np. transport pasażerski)."
"Czy agrofag może przeżyć transport i składowanie w tej drodze przenikania?",Tak
"Czy agrofag może zostać przeniesiony z tej drogi przenikania na odpowiednie siedlisko?",Nie
"Czy wielkość przemieszczania tą drogą przenikania sprzyja wejściu agrofaga?",Nie
"Czy częstotliwość przemieszczania tą drogą przenikania sprzyja wejściu agrofaga?",Nie
"Ocena prawdopodobieństwa wejścia",Średnie
"Ocena niepewności",Średnia
